"node_info","tianfu_property","zhuangbei_property","zhenbao_name","tianfu","zhenbao_lvl"
"制作属性提升4%。汤姑装备时制作属性提升4%。负责一小时以上的制作工作时，有30%的概率掉落2份「炉灰」。","制作属性提升4%。","制作属性提升4%。负责一小时以上的制作工作时，有30%的概率掉落2份「炉灰」。","紫铜手炉","天赋：暖冬","初始"
"制作属性提升6%。汤姑装备时制作属性提升6%。负责一小时以上的制作工作时，有40%的概率掉落2份「炉灰」。","制作属性提升6%。","制作属性提升6%。负责一小时以上的制作工作时，有40%的概率掉落2份「炉灰」。","紫铜手炉","天赋：暖冬","20"
"制作属性提升8%。汤姑装备时制作属性提升8%。负责一小时以上的制作工作时，有50%的概率掉落2份「炉灰」。","制作属性提升8%。","制作属性提升8%。负责一小时以上的制作工作时，有50%的概率掉落2份「炉灰」。","紫铜手炉","天赋：暖冬","30"
"制作属性提升10%。汤姑装备时制作属性提升10%。负责一小时以上的制作工作时，有60%的概率掉落2份「炉灰」。","制作属性提升10%。","制作属性提升10%。负责一小时以上的制作工作时，有60%的概率掉落2份「炉灰」。","紫铜手炉","天赋：暖冬","40"
"制作属性提升4%。马秀英装备时制作属性提升4%。负责制作工作时，除菜肴外其他所有资源花费减少5%。","制作属性提升4%。","制作属性提升4%。负责制作工作时，除菜肴外其他所有资源花费减少5%。","皇后凤冠","天赋：明珠","初始"
"制作属性提升6%。马秀英装备时制作属性提升6%。负责制作工作时，除菜肴外其他所有资源花费减少10%。","制作属性提升6%。","制作属性提升6%。负责制作工作时，除菜肴外其他所有资源花费减少10%。","皇后凤冠","天赋：明珠","20"
"制作属性提升8%。马秀英装备时制作属性提升8%。负责制作工作时，除菜肴外其他所有资源花费减少15%。","制作属性提升8%。","制作属性提升8%。负责制作工作时，除菜肴外其他所有资源花费减少15%。","皇后凤冠","天赋：明珠","30"
"制作属性提升10%。马秀英装备时制作属性提升10%。负责制作工作时，除菜肴外其他所有资源花费减少20%。","制作属性提升10%。","制作属性提升10%。负责制作工作时，除菜肴外其他所有资源花费减少20%。","皇后凤冠","天赋：明珠","40"
"建造属性提升4%。柳永装备时建造属性提升4%。在城市中负责建造工作时，立即完成15%的进度。","建造属性提升4%。","建造属性提升4%。在城市中负责建造工作时，立即完成15%的进度。","乐章集","天赋：筑梦","初始"
"建造属性提升6%。柳永装备时建造属性提升6%。在城市中负责建造工作时，立即完成20%的进度。","建造属性提升6%。","建造属性提升6%。在城市中负责建造工作时，立即完成20%的进度。","乐章集","天赋：筑梦","20"
"建造属性提升8%。柳永装备时建造属性提升4%。在城市中负责建造工作时，立即完成40%的进度。","建造属性提升8%。","建造属性提升4%。在城市中负责建造工作时，立即完成40%的进度。","乐章集","天赋：筑梦","30"
"建造属性提升10%。柳永装备时建造属性提升10%。在城市中负责建造工作时，立即完成40%的进度。","建造属性提升10%。","建造属性提升10%。在城市中负责建造工作时，立即完成40%的进度。","乐章集","天赋：筑梦","40"
"理财属性提升4%。薛涛装备时理财属性提升4%。在商业建筑中工作时，立即完成15%的进度。","理财属性提升4%。","理财属性提升4%。在商业建筑中工作时，立即完成15%的进度。","浣花笺","天赋：校书","初始"
"理财属性提升6%。薛涛装备时理财属性提升6%。在商业建筑中工作时，立即完成20%的进度。","理财属性提升6%。","理财属性提升6%。在商业建筑中工作时，立即完成20%的进度。","浣花笺","天赋：校书","20"
"理财属性提升8%。薛涛装备时理财属性提升8%。在商业建筑中工作时，立即完成25%的进度。","理财属性提升8%。","理财属性提升8%。在商业建筑中工作时，立即完成25%的进度。","浣花笺","天赋：校书","30"
"理财属性提升10%。薛涛装备时理财属性提升10%。在商业建筑中工作时，立即完成30%的进度。","理财属性提升10%。","理财属性提升10%。在商业建筑中工作时，立即完成30%的进度。","浣花笺","天赋：校书","40"
"制作属性提升4%。干将装备时","制作属性提升4%。","","阴阳剑","天赋：止戈","初始"
"制作属性提升6%。干将装备时","制作属性提升6%。","","阴阳剑","天赋：止戈","20"
"制作属性提升8%。干将装备时","制作属性提升8%。","","阴阳剑","天赋：止戈","30"
"制作属性提升10%。干将装备时制作属性提升10%。在兵器工坊进行生产工作时，无需额外工人。","制作属性提升10%。","制作属性提升10%。在兵器工坊进行生产工作时，无需额外工人。","阴阳剑","天赋：止戈","40"
"探险属性提升4%。范泊宁装备时探险属性提升4%。理财属性提升4%。","探险属性提升4%。","探险属性提升4%。理财属性提升4%。","罗盘","天赋：勘针","初始"
"探险属性提升6%。范泊宁装备时探险属性提升6%。理财属性提升6%。","探险属性提升6%。","探险属性提升6%。理财属性提升6%。","罗盘","天赋：勘针","20"
"探险属性提升8%。范泊宁装备时探险属性提升8%。理财属性提升8%。","探险属性提升8%。","探险属性提升8%。理财属性提升8%。","罗盘","天赋：勘针","30"
"探险属性提升10%。范泊宁装备时探险属性提升10%。理财属性提升10%。","探险属性提升10%。","探险属性提升10%。理财属性提升10%。","罗盘","天赋：勘针","40"
"制作属性提升4%。道济装备时制作属性提升4%。所在城市的居民不会死亡。","制作属性提升4%。","制作属性提升4%。所在城市的居民不会死亡。","破蒲扇","天赋：永生","初始"
"制作属性提升6%。道济装备时制作属性提升6%。所在城市的居民不会死亡。","制作属性提升6%。","制作属性提升6%。所在城市的居民不会死亡。","破蒲扇","天赋：永生","20"
"制作属性提升8%。道济装备时制作属性提升8%。所在城市的居民不会死亡。","制作属性提升8%。","制作属性提升8%。所在城市的居民不会死亡。","破蒲扇","天赋：永生","30"
"制作属性提升10%。道济装备时制作属性提升10%。所在城市的居民不会死亡。","制作属性提升10%。","制作属性提升10%。所在城市的居民不会死亡。","破蒲扇","天赋：永生","40"
"农牧提升4％。徐妙云装备时农牧提升4％。在城市中负责任意工作时，所需工人−1。","农牧提升4％。","农牧提升4％。在城市中负责任意工作时，所需工人−1。","白玉观音","天赋：怀仁","初始"
"农牧提升6％。徐妙云装备时农牧提升6％。在城市中负责任意工作时，所需工人−1。","农牧提升6％。","农牧提升6％。在城市中负责任意工作时，所需工人−1。","白玉观音","天赋：怀仁","20"
"农牧提升8％。徐妙云装备时农牧提升8％。在城市中负责任意工作时，所需工人−2。","农牧提升8％。","农牧提升8％。在城市中负责任意工作时，所需工人−2。","白玉观音","天赋：怀仁","30"
"农牧提升10％。徐妙云装备时农牧提升10％。在城市中负责任意工作时，所需工人−3。","农牧提升10％。","农牧提升10％。在城市中负责任意工作时，所需工人−3。","白玉观音","天赋：怀仁","40"
"建造属性提升4%。计成装备时建造属性提升4%。负责建造工作时，除菜肴外其他所有资源花费减少15%。","建造属性提升4%。","建造属性提升4%。负责建造工作时，除菜肴外其他所有资源花费减少15%。","太湖石(珍宝)","天赋：园治","初始"
"建造属性提升6%。计成装备时建造属性提升6%。负责建造工作时，除菜肴外其他所有资源花费减少20%。","建造属性提升6%。","建造属性提升6%。负责建造工作时，除菜肴外其他所有资源花费减少20%。","太湖石(珍宝)","天赋：园治","20"
"建造属性提升8%。计成装备时建造属性提升8%。负责建造工作时，除菜肴外其他所有资源花费减少30%。","建造属性提升8%。","建造属性提升8%。负责建造工作时，除菜肴外其他所有资源花费减少30%。","太湖石(珍宝)","天赋：园治","30"
"建造属性提升10%。计成装备时建造属性提升10%。负责建造工作时，除菜肴外其他所有资源花费减少40%。","建造属性提升10%。","建造属性提升10%。负责建造工作时，除菜肴外其他所有资源花费减少40%。","太湖石(珍宝)","天赋：园治","40"
"理财属性提升4%。肖含珠装备时理财属性提升4%。在城市中负责理财工作时，立即完成5%的进度。","理财属性提升4%。","理财属性提升4%。在城市中负责理财工作时，立即完成5%的进度。","珠袋","天赋：精怪","初始"
"理财属性提升6%。肖含珠装备时理财属性提升6%。在城市中负责理财工作时，立即完成10%的进度。","理财属性提升6%。","理财属性提升6%。在城市中负责理财工作时，立即完成10%的进度。","珠袋","天赋：精怪","20"
"理财属性提升8%。肖含珠装备时理财属性提升8%。在城市中负责理财工作时，立即完成15%的进度。","理财属性提升8%。","理财属性提升8%。在城市中负责理财工作时，立即完成15%的进度。","珠袋","天赋：精怪","30"
"理财属性提升10%。肖含珠装备时理财属性提升10%。在城市中负责理财工作时，立即完成20%的进度。","理财属性提升10%。","理财属性提升10%。在城市中负责理财工作时，立即完成20%的进度。","珠袋","天赋：精怪","40"
"农牧属性提升4%。段成式装备时农牧属性提升4%。负责农牧工作时，立即完成15%的进度。","农牧属性提升4%。","农牧属性提升4%。负责农牧工作时，立即完成15%的进度。","酉阳笔","天赋：珍异","初始"
"农牧属性提升6%。段成式装备时农牧属性提升6%。负责农牧工作时，立即完成20%的进度。","农牧属性提升6%。","农牧属性提升6%。负责农牧工作时，立即完成20%的进度。","酉阳笔","天赋：珍异","20"
"农牧属性提升8%。段成式装备时农牧属性提升8%。负责农牧工作时，立即完成25%的进度。","农牧属性提升8%。","农牧属性提升8%。负责农牧工作时，立即完成25%的进度。","酉阳笔","天赋：珍异","30"
"农牧属性提升10%。段成式装备时农牧属性提升10%。负责农牧工作时，立即完成30%的进度。","农牧属性提升10%。","农牧属性提升10%。负责农牧工作时，立即完成30%的进度。","酉阳笔","天赋：珍异","40"
"探险属性提升4%。红拂装备时探险属性提升4%，参与任意工作时，所需铜钱减少10%。","探险属性提升4%。","探险属性提升4%，参与任意工作时，所需铜钱减少10%。","红色拂尘","天赋：等闲","初始"
"探险属性提升6%红拂装备时探险属性提升6%，参与任意工作时，所需铜钱减少15%。","探险属性提升6%","探险属性提升6%，参与任意工作时，所需铜钱减少15%。","红色拂尘","天赋：等闲","20"
"探险属性提升8%红拂装备时探险属性提升8%，参与任意工作时，所需铜钱减少20%。","探险属性提升8%","探险属性提升8%，参与任意工作时，所需铜钱减少20%。","红色拂尘","天赋：等闲","30"
"探险属性提升10%红拂装备时探险属性提升10%，参与任意工作时，所需铜钱减少25%。","探险属性提升10%","探险属性提升10%，参与任意工作时，所需铜钱减少25%。","红色拂尘","天赋：等闲","40"
"制作属性提升4%。公输般装备时制作属性提升4%。负责打造、升级家具时，除家具图纸外，所需的宅邸材料减少1。","制作属性提升4%。","制作属性提升4%。负责打造、升级家具时，除家具图纸外，所需的宅邸材料减少1。","云梯","天赋：尺锯","初始"
"制作属性提升6%。公输般装备时制作属性提升6%。负责打造、升级家具时，除家具图纸外，所需的宅邸材料减少2。","制作属性提升6%。","制作属性提升6%。负责打造、升级家具时，除家具图纸外，所需的宅邸材料减少2。","云梯","天赋：尺锯","20"
"制作属性提升8%。公输般装备时制作属性提升8%。负责打造、升级家具时，除家具图纸外，所需的宅邸材料减少3。","制作属性提升8%。","制作属性提升8%。负责打造、升级家具时，除家具图纸外，所需的宅邸材料减少3。","云梯","天赋：尺锯","30"
"制作属性提升10%。公输般装备时制作属性提升10%。负责打造、升级家具时，除家具图纸外，所需的宅邸材料减少4。","制作属性提升10%。","制作属性提升10%。负责打造、升级家具时，除家具图纸外，所需的宅邸材料减少4。","云梯","天赋：尺锯","40"
"制作属性提升4%。卫寻彩装备时制作属性提升4%。负责2小时以上的制作工作时，额外获得40份随机资源。","制作属性提升4%。","制作属性提升4%。负责2小时以上的制作工作时，额外获得40份随机资源。","海上仙山画卷","天赋：寻彩","初始"
"制作属性提升6%。卫寻彩装备时制作属性提升6%。负责2小时以上的制作工作时，额外获得50份随机资源。","制作属性提升6%。","制作属性提升6%。负责2小时以上的制作工作时，额外获得50份随机资源。","海上仙山画卷","天赋：寻彩","20"
"制作属性提升8%。卫寻彩装备时制作属性提升8%。负责2小时以上的制作工作时，额外获得60份随机资源。","制作属性提升8%。","制作属性提升8%。负责2小时以上的制作工作时，额外获得60份随机资源。","海上仙山画卷","天赋：寻彩","30"
"制作属性提升10%。卫寻彩装备时制作属性提升10%。负责2小时以上的制作工作时，额外获得80份随机资源。","制作属性提升10%。","制作属性提升10%。负责2小时以上的制作工作时，额外获得80份随机资源。","海上仙山画卷","天赋：寻彩","40"
"理财属性提升4%。上官婉儿装备时理财属性提升4%，负责理财工作时，除菜肴外的其他所有资源消耗减少8%","理财属性提升4%。","理财属性提升4%，负责理财工作时，除菜肴外的其他所有资源消耗减少8%","则天诏令","天赋：修文","初始"
"理财属性提升6%。上官婉儿装备时理财属性提升6%，负责理财工作时，除菜肴外的其他所有资源消耗减少12%","理财属性提升6%。","理财属性提升6%，负责理财工作时，除菜肴外的其他所有资源消耗减少12%","则天诏令","天赋：修文","20"
"理财属性提升8%。上官婉儿装备时理财属性提升8%，负责理财工作时，除菜肴外的其他所有资源消耗减少16%","理财属性提升8%。","理财属性提升8%，负责理财工作时，除菜肴外的其他所有资源消耗减少16%","则天诏令","天赋：修文","30"
"理财属性提升10%。上官婉儿装备时理财属性提升10%，负责理财工作时，除菜肴外的其他所有资源消耗减少20%","理财属性提升10%。","理财属性提升10%，负责理财工作时，除菜肴外的其他所有资源消耗减少20%","则天诏令","天赋：修文","40"
"建造属性提升4%。成凤羽装备时建造属性提升4%。负责建造工作时，所需工人-3。","建造属性提升4%。","建造属性提升4%。负责建造工作时，所需工人-3。","骑凤仙人","天赋：瑞兽","初始"
"建造属性提升6%。成凤羽装备时建造属性提升6%。负责建造工作时，所需工人-4。","建造属性提升6%。","建造属性提升6%。负责建造工作时，所需工人-4。","骑凤仙人","天赋：瑞兽","20"
"建造属性提升8%。成凤羽装备时建造属性提升8%。负责建造工作时，所需工人-6。","建造属性提升8%。","建造属性提升8%。负责建造工作时，所需工人-6。","骑凤仙人","天赋：瑞兽","30"
"建造属性提升10%。成凤羽装备时建造属性提升10%。负责建造工作时，无需额外工人。","建造属性提升10%。","建造属性提升10%。负责建造工作时，无需额外工人。","骑凤仙人","天赋：瑞兽","40"
"农牧属性提升4%。王祯装备时农牧属性提升4%。负责农牧工作时，立即完成15%的进度，但所需人工+1。","农牧属性提升4%。","农牧属性提升4%。负责农牧工作时，立即完成15%的进度，但所需人工+1。","龙骨车","天赋：灌溉","初始"
"农牧属性提升6%。王祯装备时农牧属性提升6%。负责农牧工作时，立即完成20%的进度，但所需人工+1。","农牧属性提升6%。","农牧属性提升6%。负责农牧工作时，立即完成20%的进度，但所需人工+1。","龙骨车","天赋：灌溉","20"
"农牧属性提升8%。王祯装备时农牧属性提升8%。负责农牧工作时，立即完成25%的进度，但所需人工+1。","农牧属性提升8%。","农牧属性提升8%。负责农牧工作时，立即完成25%的进度，但所需人工+1。","龙骨车","天赋：灌溉","30"
"农牧属性提升10%。王祯装备时农牧属性提升10%。负责农牧工作时，立即完成30%的进度，但所需人工+2。","农牧属性提升10%。","农牧属性提升10%。负责农牧工作时，立即完成30%的进度，但所需人工+2。","龙骨车","天赋：灌溉","40"
"制作属性提升4%公孙策装备时制作属性提升4%。负责制作工作时，除菜肴外其他资源减少10%","制作属性提升4%","制作属性提升4%。负责制作工作时，除菜肴外其他资源减少10%","开封日志","天赋：主簿","初始"
"制作属性提升6%公孙策装备时制作属性提升6%。负责制作工作时，除菜肴外其他资源减少20%","制作属性提升6%","制作属性提升6%。负责制作工作时，除菜肴外其他资源减少20%","开封日志","天赋：主簿","20"
"制作属性提升8%。公孙策装备时制作属性提升8%。负责制作工作时，除菜肴外其他资源减少30%","制作属性提升8%。","制作属性提升8%。负责制作工作时，除菜肴外其他资源减少30%","开封日志","天赋：主簿","30"
"制作属性提升10%。公孙策装备时制作属性提升10%。负责制作工作时，除菜肴外其他资源减少40%","制作属性提升10%。","制作属性提升10%。负责制作工作时，除菜肴外其他资源减少40%","开封日志","天赋：主簿","40"
"探险属性提升4%。东方祚装备时探险属性提升4%。制作属性提升6%。","探险属性提升4%。","探险属性提升4%。制作属性提升6%。","青铜雁足灯","天赋：耐劳","初始"
"探险属性提升6%。东方祚装备时探险属性提升6%。制作属性提升8%。","探险属性提升6%。","探险属性提升6%。制作属性提升8%。","青铜雁足灯","天赋：耐劳","20"
"探险属性提升8%。东方祚装备时探险属性提升8%。制作属性提升12%。","探险属性提升8%。","探险属性提升8%。制作属性提升12%。","青铜雁足灯","天赋：耐劳","30"
"探险属性提升10%。东方祚装备时探险属性提升10%。制作属性提升15%。","探险属性提升10%。","探险属性提升10%。制作属性提升15%。","青铜雁足灯","天赋：耐劳","40"
"农牧属性提升4%。桑岷装备时农牧属性提升4%。在养蚕场工作时，额外获得30%的资源。","农牧属性提升4%。","农牧属性提升4%。在养蚕场工作时，额外获得30%的资源。","蚕眠桑叶","天赋：蚕神","初始"
"农牧属性提升6%。桑岷装备时农牧属性提升6%。在养蚕场工作时，额外获得50%的资源。","农牧属性提升6%。","农牧属性提升6%。在养蚕场工作时，额外获得50%的资源。","蚕眠桑叶","天赋：蚕神","20"
"农牧属性提升8%。桑岷装备时农牧属性提升8%。在养蚕场工作时，额外获得80%的资源。","农牧属性提升8%。","农牧属性提升8%。在养蚕场工作时，额外获得80%的资源。","蚕眠桑叶","天赋：蚕神","30"
"农牧属性提升10%。桑岷装备时农牧属性提升10%。在养蚕场工作时，额外获得100%的资源。","农牧属性提升10%。","农牧属性提升10%。在养蚕场工作时，额外获得100%的资源。","蚕眠桑叶","天赋：蚕神","40"
"建造属性提升4%。吕穹生装备时建造属性提升10%。升级建筑时，额外获得10份澄纸。","建造属性提升4%。","建造属性提升10%。升级建筑时，额外获得10份澄纸。","楠竹戒尺","天赋：造纸","初始"
"建造属性提升6%。吕穹生装备时建造属性提升10%。升级建筑时，额外获得20份澄纸。","建造属性提升6%。","建造属性提升10%。升级建筑时，额外获得20份澄纸。","楠竹戒尺","天赋：造纸","20"
"建造属性提升8%。吕穹生装备时建造属性提升10%。升级建筑时，额外获得30份澄纸。","建造属性提升8%。","建造属性提升10%。升级建筑时，额外获得30份澄纸。","楠竹戒尺","天赋：造纸","30"
"建造属性提升10%。吕穹生装备时建造属性提升10%。升级建筑时，额外获得40份澄纸。","建造属性提升10%。","建造属性提升10%。升级建筑时，额外获得40份澄纸。","楠竹戒尺","天赋：造纸","40"
"理财属性提升4%。百里安装备时理财属性提升4%，在商业建筑中工作时，有3%的概率立即完成本次生产。","理财属性提升4%。","理财属性提升4%，在商业建筑中工作时，有3%的概率立即完成本次生产。","兽首玛瑙杯","天赋：蓄贾","初始"
"理财属性提升6%。百里安装备时理财属性提升6%，在商业建筑中工作时，有5%的概率立即完成本次生产。","理财属性提升6%。","理财属性提升6%，在商业建筑中工作时，有5%的概率立即完成本次生产。","兽首玛瑙杯","天赋：蓄贾","20"
"理财属性提升8%。百里安装备时理财属性提升8%，在商业建筑中工作时，有7%的概率立即完成本次生产。","理财属性提升8%。","理财属性提升8%，在商业建筑中工作时，有7%的概率立即完成本次生产。","兽首玛瑙杯","天赋：蓄贾","30"
"理财属性提升10%。百里安装备时理财属性提升10%，在商业建筑中工作时，有10%的概率立即完成本次生产。","理财属性提升10%。","理财属性提升10%，在商业建筑中工作时，有10%的概率立即完成本次生产。","兽首玛瑙杯","天赋：蓄贾","40"
"制作属性提升4%。鹿经纬装备时制作属性提升4%。负责制作工作时，立即完成10%的进度。","制作属性提升4%。","制作属性提升4%。负责制作工作时，立即完成10%的进度。","缂丝木梭","天赋：经纬","初始"
"制作属性提升6%。鹿经纬装备时制作属性提升6%。负责制作工作时，立即完成15%的进度。","制作属性提升6%。","制作属性提升6%。负责制作工作时，立即完成15%的进度。","缂丝木梭","天赋：经纬","20"
"制作属性提升8%。鹿经纬装备时制作属性提升8%。负责制作工作时，立即完成20%的进度。","制作属性提升8%。","制作属性提升8%。负责制作工作时，立即完成20%的进度。","缂丝木梭","天赋：经纬","30"
"制作属性提升10%。鹿经纬装备时制作属性提升10%。负责制作工作时，立即完成25%的进度。","制作属性提升10%。","制作属性提升10%。负责制作工作时，立即完成25%的进度。","缂丝木梭","天赋：经纬","40"
"探险属性提升4%。红鸾装备时探险属性提升4%。负责步天观星中任意工作时，立即完成8%的进度。","探险属性提升4%。","探险属性提升4%。负责步天观星中任意工作时，立即完成8%的进度。","红鸾铜镜","天赋：鸾羽","初始"
"探险属性提升6%。红鸾装备时探险属性提升6%。负责步天观星中任意工作时，立即完成10%的进度。","探险属性提升6%。","探险属性提升6%。负责步天观星中任意工作时，立即完成10%的进度。","红鸾铜镜","天赋：鸾羽","20"
"探险属性提升8%。红鸾装备时探险属性提升8%。负责步天观星中任意工作时，立即完成12%的进度。","探险属性提升8%。","探险属性提升8%。负责步天观星中任意工作时，立即完成12%的进度。","红鸾铜镜","天赋：鸾羽","30"
"探险属性提升10%。红鸾装备时探险属性提升10%。负责步天观星中任意工作时，立即完成15%的进度。","探险属性提升10%。","探险属性提升10%。负责步天观星中任意工作时，立即完成15%的进度。","红鸾铜镜","天赋：鸾羽","40"
"探险属性提升4%。马远道装备时探险属性提升4%。在码头负责6小时以上的工作时，随机获得20份资源。","探险属性提升4%。","探险属性提升4%。在码头负责6小时以上的工作时，随机获得20份资源。","邮包","天赋：补给","初始"
"探险属性提升6%。马远道装备时探险属性提升6%。在码头负责6小时以上的工作时，随机获得30份资源。","探险属性提升6%。","探险属性提升6%。在码头负责6小时以上的工作时，随机获得30份资源。","邮包","天赋：补给","20"
"探险属性提升8%。马远道装备时探险属性提升8%。在码头负责6小时以上的工作时，随机获得40份资源。","探险属性提升8%。","探险属性提升8%。在码头负责6小时以上的工作时，随机获得40份资源。","邮包","天赋：补给","30"
"探险属性提升10%。马远道装备时探险属性提升10%。在码头负责6小时以上的工作时，随机获得50份资源。","探险属性提升10%。","探险属性提升10%。在码头负责6小时以上的工作时，随机获得50份资源。","邮包","天赋：补给","40"
"探险属性提升4%。张山归装备时探险属性提升4%。探索新区域时，所需铜钱-5%，且所需工人-2。","探险属性提升4%。","探险属性提升4%。探索新区域时，所需铜钱-5%，且所需工人-2。","骑驴竹简","天赋：诗行","初始"
"探险属性提升6%。张山归装备时探险属性提升6%。探索新区域时，所需铜钱-7%，且所需工人-3。","探险属性提升6%。","探险属性提升6%。探索新区域时，所需铜钱-7%，且所需工人-3。","骑驴竹简","天赋：诗行","20"
"探险属性提升8%。张山归装备时探险属性提升8%。探索新区域时，所需铜钱-10%，且所需工人-4。","探险属性提升8%。","探险属性提升8%。探索新区域时，所需铜钱-10%，且所需工人-4。","骑驴竹简","天赋：诗行","30"
"探险属性提升10%。张山归装备时探险属性提升10%。探索新区域时，所需铜钱-15%，且所需工人-5。","探险属性提升10%。","探险属性提升10%。探索新区域时，所需铜钱-15%，且所需工人-5。","骑驴竹简","天赋：诗行","40"
"农牧属性提升4%。余妙年装备时农牧属性提升4%。在蟹塘负责1小时以上的工作时，有6%的几率额外获得1个珍贵螃蜞。","农牧属性提升4%。","农牧属性提升4%。在蟹塘负责1小时以上的工作时，有6%的几率额外获得1个珍贵螃蜞。","荷叶玉佩","天赋：捕蟹","初始"
"农牧属性提升6%。余妙年装备时农牧属性提升6%。在蟹塘负责1小时以上的工作时，有9%的几率额外获得1个珍贵螃蜞。","农牧属性提升6%。","农牧属性提升6%。在蟹塘负责1小时以上的工作时，有9%的几率额外获得1个珍贵螃蜞。","荷叶玉佩","天赋：捕蟹","20"
"农牧属性提升8%。余妙年装备时农牧属性提升8%。在蟹塘负责1小时以上的工作时，有12%的几率额外获得1个珍贵螃蜞。","农牧属性提升8%。","农牧属性提升8%。在蟹塘负责1小时以上的工作时，有12%的几率额外获得1个珍贵螃蜞。","荷叶玉佩","天赋：捕蟹","30"
"农牧属性提升10%。余妙年装备时农牧属性提升10%。在蟹塘负责1小时以上的工作时，有15%的几率额外获得1个珍贵螃蜞。","农牧属性提升10%。","农牧属性提升10%。在蟹塘负责1小时以上的工作时，有15%的几率额外获得1个珍贵螃蜞。","荷叶玉佩","天赋：捕蟹","40"
"探险属性提升4%。乔溪午装备时探险属性提升4%。在川沙堡的抵御怪物中负责任意工作时，所需工人-2。","探险属性提升4%。","探险属性提升4%。在川沙堡的抵御怪物中负责任意工作时，所需工人-2。","镇妖宝塔","天赋：镇恶","初始"
"探险属性提升6%。乔溪午装备时探险属性提升6%。在川沙堡的抵御怪物中负责任意工作时，所需工人-3。","探险属性提升6%。","探险属性提升6%。在川沙堡的抵御怪物中负责任意工作时，所需工人-3。","镇妖宝塔","天赋：镇恶","20"
"探险属性提升8%。乔溪午装备时探险属性提升8%。在川沙堡的抵御怪物中负责任意工作时，所需工人-4。","探险属性提升8%。","探险属性提升8%。在川沙堡的抵御怪物中负责任意工作时，所需工人-4。","镇妖宝塔","天赋：镇恶","30"
"探险属性提升10%。乔溪午装备时探险属性提升10%。在川沙堡的抵御怪物中负责任意工作时，无需额外工人。","探险属性提升10%。","探险属性提升10%。在川沙堡的抵御怪物中负责任意工作时，无需额外工人。","镇妖宝塔","天赋：镇恶","40"
"农牧属性提升4%。涂南山装备时农牧属性提升4%。在城市中负责1小时以上的农牧或建造工作时，所需工人-2。","农牧属性提升4%。","农牧属性提升4%。在城市中负责1小时以上的农牧或建造工作时，所需工人-2。","卧儿兔","天赋：灵狐","初始"
"农牧属性提升6%。涂南山装备时农牧属性提升6%。在城市中负责1小时以上的农牧或建造工作时，所需工人-3。","农牧属性提升6%。","农牧属性提升6%。在城市中负责1小时以上的农牧或建造工作时，所需工人-3。","卧儿兔","天赋：灵狐","20"
"农牧属性提升8%。涂南山装备时农牧属性提升8%。在城市中负责1小时以上的农牧或建造工作时，所需工人-4。","农牧属性提升8%。","农牧属性提升8%。在城市中负责1小时以上的农牧或建造工作时，所需工人-4。","卧儿兔","天赋：灵狐","30"
"农牧属性提升10%。涂南山装备时农牧属性提升10%。在城市中负责1小时以上的农牧或建造工作时，所需工人-5。","农牧属性提升10%。","农牧属性提升10%。在城市中负责1小时以上的农牧或建造工作时，所需工人-5。","卧儿兔","天赋：灵狐","40"
"建造属性提升4%。乔沐装备时建造属性提升4%。负责建造工作时，所需工人-2。","建造属性提升4%。","建造属性提升4%。负责建造工作时，所需工人-2。","千年枫木","天赋：草木","初始"
"建造属性提升6%。乔沐装备时","建造属性提升6%。","","千年枫木","天赋：草木","20"
"建造属性提升8%。乔沐装备时","建造属性提升8%。","","千年枫木","天赋：草木","30"
