"firstHeading","user_name","zhenbao_desc","cat"
"千年枫木",NA,"「南中枫木之老者为人形，亦呼为灵枫。」","专属珍宝"
"不言纸扇",NA,"扇面上的四个字，是冯令吉时时谨记的诫语，也是他对自己的鞭策。","专属珍宝"
"太平羯鼓",NA,"长安马球队战胜龟兹队后赢得的奖品，公孙跃将它送给了令风来。","专属珍宝"
"白杆长矛",NA,"陪万千山征战多年的武器，仿佛他挺拔的脊梁。","专属珍宝"
"雁字回时",NA,"九岁那年陈随亲手扎的纸鸢，杨婳视若珍宝。","专属珍宝"
"星罗棋谱",NA,"李星罗精心编纂的棋谱，每一招都很实用。","专属珍宝"
"九连环",NA,"顾小九随身带的机关玩具，目前无人能比她更快解开。","专属珍宝"
"达摩剑",NA,"师父亲手为王扶危打造的出师礼。","专属珍宝"
"油彩盒",NA,"柳笑翁扮演不同性格的角色时，会用油彩在脸上勾画不同的图案。","专属珍宝"
"兔子花灯",NA,"每年灯会，江南的人们最得意的事便是买到一盏叶闻灯亲手制作的兔子花灯。","专属珍宝"
"凤阳花鼓",NA,"边敲边唱「得儿飘得儿飘～」，是这只花鼓的唯一正确用法。","专属珍宝"
"惊涛铜琶",NA,"","专属珍宝"
"清音胡琴",NA,"即使使用多年，依然被秦奚呵护得如新的一般。","专属珍宝"
"飞星编钟",NA,"世间惟有公子礼能将飞星编钟的音色展现的淋漓尽致。","专属珍宝"
"花雕酒坛",NA,"兰心娴用心设计的酒坛，清雅飘逸，超然脱俗。","专属珍宝"
"木雕小猫",NA,"金魏养过的第一只小猫的雕像，会永远陪着他。","专属珍宝"
"陶鼎",NA,"孟余做菜时最喜欢用的器具，朴素却实用。","专属珍宝"
"红绸剪刀",NA,"喜服的尺寸一定要正好。","专属珍宝"
"瑶台花篮",NA,"盛满琪花瑶草的花篮，香味令人沉醉。","专属珍宝"
"玉屑饭",NA,"食用后虽不可长生不老，但能百病不生。","专属珍宝"
"鲛珠",NA,"传说是鲛人的眼泪，每一颗都很珍贵。","专属珍宝"
"辟邪旗",NA,"除恶务尽，佑百姓安宁。","专属珍宝"
"常胜月杖",NA,"这把月杖发出的击打声如余音绕梁，三日不绝。","专属珍宝"
"龙鳞装书籍",NA,"诞生于唐朝的龙鳞装帧，卢璨深谙此法。","专属珍宝"
"曲项琵琶",NA,"卢璀在大雪封山时亲手制成的琵琶，他视为珍宝。","专属珍宝"
"金缠腰",NA,"花晚照亲手为向斜阳种的花，被向斜阳视为珍宝。","专属珍宝"
"一卷报纸",NA,"江南报房出刊的小报，消息丰富，价格低廉。","专属珍宝"
"魁星点斗",NA,"魁星点斗，独占鳌头。","专属珍宝"
"香粉盒",NA,"百里沉香亲手为麦小满制作的盒子，里面放着预防蚊虫叮咬的香粉。","专属珍宝"
"木雕漕船",NA,"麦小满亲手为百里沉香雕刻的木质漕船，船底刻着她去过的所有地方。","专属珍宝"
"檀木箜篌",NA,"名贵檀木制成的箜篌，是师父送给宫商羽的出师礼。","专属珍宝"
"破伞",NA,"一把破旧的油纸伞，里面居住着小鬼。","专属珍宝"
"鲁班刨",NA,"有了这个传奇刨子后，成梁终于集齐了全套建筑工具。","专属珍宝"
"悬丝偶",NA,"端木偃制作的第一只悬丝傀儡，意义非凡。","专属珍宝"
"绣花针",NA,"稍显陈旧的绣花针，鹿隐溪可用它施出十余种针法。","专属珍宝"
"马鞭",NA,"一条十分具有威慑力的马鞭，可一次也没有抽在马身上过。","专属珍宝"
"天书",NA,"记录了天庭神秘法术的天书，由袁公赠送给了蛋生","专属珍宝"
"冰玉棋盘",NA,"以玉石做成的棋盘，晶莹无瑕","专属珍宝"
"胡萝卜牙雕",NA,"小玉的第一件雕刻作品，意义非凡。","专属珍宝"
"东坡肉",NA,"慢着火，少着水，火候足时他自美。","专属珍宝"
"降龙木",NA,"据说降龙木是杨宗保从穆柯寨借的，说是借，也没见还。","专属珍宝"
"风火轮(专属)",NA,"快过千里马","专属珍宝"
"玉算盘",NA,"方寸之间算乾坤","专属珍宝"
"离骚",NA,"一卷离骚清彻骨，跫然空谷足徽音。","专属珍宝"
"羽扇",NA,"使用6只大鹅身上最美丽的羽毛制作的扇子。","专属珍宝"
"丈八蛇矛",NA,"全用镔铁点钢打造，矛杆长一丈，威力惊人。","专属珍宝"
"白龙马",NA,"白马形状的瓷器，是某人收藏的工艺品。","专属珍宝"
"梧桐子",NA,"鱼玄机新鲜采摘之物，磨粉入药大有裨益。","专属珍宝"
"广陵散",NA,"中国古代一首大型琴曲，嵇康善弹此曲，密不授人。","专属珍宝"
"虎蹲炮",NA,"戚继光根据抗倭经验创制出来的铁炮，威力无穷。","专属珍宝"
"永乐大钟",NA,"巨大无比的铜钟，上用馆阁体刻满经文。","专属珍宝"
"缰绳",NA,"朱棣酷爱饲马，此缰为其钟爱之物。","专属珍宝"
"御腰牌",NA,"刻有『御猫』二字的御赐腰牌。","专属珍宝"
"螺钿盒子",NA,"仇英亲手制作的小盒子，是其女儿的心爱之物。","专属珍宝"
"江南春图",NA,"文徵明绘制的画卷，文过世后传给了其子孙。","专属珍宝"
"铜香炉",NA,"每当徐祯卿修道时，他都要点起香炉，以助静心。","专属珍宝"
"彝刀",NA,"彝族的单手长刀，錾刻花纹，杀伤力极大。","专属珍宝"
"自酿酒",NA,"里面装满了白居易自酿的劣酒，不太好喝。","专属珍宝"
"梅花枝",NA,"罗素月亲自栽种的梅花树的枝条。","专属珍宝"
"蝴蝶佩·左",NA,"美丽的蝴蝶被分成两半，此半赠予才子。","专属珍宝"
"蝴蝶佩·右",NA,"美丽的蝴蝶被分成两半，此半赠予佳人。","专属珍宝"
"北斗挂坠",NA,"七颗闪闪发光的宝石，映照着夜空最闪耀的星辰。","专属珍宝"
"银凰灸针",NA,"传说是孙思邈用过的针灸针，没人知道真假。","专属珍宝"
"父乙簋",NA,"赵明诚临终前，将他的家传宗器交给李清照，让她务必妥善保管。","专属珍宝"
"桃花枝",NA,"桃花粉嫩，惹人怜爱。配与美人，窈窕婉约。","专属珍宝"
"黎锦",NA,"海南的黎族人将色丝与吉贝织成锦缎，五光十色，分外美丽。","专属珍宝"
"浑不似",NA,"形如琵琶，却又不是琵琶。是游牧民族钟爱的乐器。","专属珍宝"
"龟壳",NA,"周易卜卦必不可少的道具之一，某人的心爱之物。","专属珍宝"
"孝头髻",NA,"白素贞初化人形时，不知何为美。见一守丧寡妇头戴此簪，便仿之。","专属珍宝"
"虎头湛金枪",NA,"从三国时代流传下来的武器，锋利无比。","专属珍宝"
"湖神石",NA,"李时珍出生时，其父从湖中捞起一神石，可通神性。","专属珍宝"
"李花枝",NA,"李树开花，红白如美人。素雅清醒，诗人挚爱。","专属珍宝"
"虎头铡",NA,"刑上大夫，一头装饰了威风的老虎，刀刃极其锋利。","专属珍宝"
"般若经",NA,"玄奘耗费毕生翻译的伟大著作。","专属珍宝"
"节寰剑",NA,"袁可立随身佩戴的爱剑，其亡故后由家人赠予给了董其昌。","专属珍宝"
"斩仙剑",NA,"此剑乃玉帝赐予刘伯温的法器，可号令四海龙王。","专属珍宝"
"银杯",NA,"此杯原是一套，是文徵明的好友希望赠予他的礼物。","专属珍宝"
"透光镜",NA,"能透出反面图案的神奇铜镜，其中奥秘，谁能道明？","专属珍宝"
"汉宫春晓图",NA,"仇英绘制的春日晨曦汉宫侍女长卷","专属珍宝"
"清明上河图",NA,"张择端绘制的汴京两岸风光长卷","专属珍宝"
"凤凰",NA,"原本只是一只孔雀，羽毛被染成了火焰的颜色。","专属珍宝"
"龙年鞭炮",NA,"爆竹一响，吉龙腾飞。","天级珍宝"
"八景宫灯",NA,"虽然可焚天煮海，但现在只是一盏实用的照明灯。","天级珍宝"
"玉净瓶",NA,"大士唯一指定饮水瓶，世间只此一个！","天级珍宝"
"夜明珠",NA,"沧海月明珠有泪，蓝田日暖玉生烟。","天级珍宝"
"琉璃瓶",NA,"元始天尊的宝物，里面装着三光神水。","天级珍宝"
"风火轮",NA,"哪吒在封神后留在山河社稷图中的宝物，由烛九阴看管。","天级珍宝"
"打神鞭",NA,"封神之后，女娲将部分珍宝收藏于山河社稷图中。打神鞭便是其中之一。","天级珍宝"
"缚龙索",NA,"此物乃烛九阴唯一害怕的宝物。","天级珍宝"
"太极图",NA,"烛九阴寄居在社稷图中，正是为了寻找老君留下的太极图。","天级珍宝"
"啸天犬",NA,"杨戬在封神后将他的爱犬留在山河社稷图中的，帮助烛九阴看管宝物。","天级珍宝"
"鸡缸杯",NA,"此物是董其昌根据实物绘制的仿品，真迹已同他的其他宝物一起付之一炬。",NA
"焦尾琴",NA,"从烧火木柴变成千古名琴，传奇的故事让焦尾琴身价不菲。",NA
"青铜爵",NA,"青铜爵虽然规格微小，但可礼天地、交鬼神，是重要的祭祀礼器。","侯级珍宝"
"玉玺",NA,"朱元璋遍访各地也未找到传国玉玺，而真正的玉玺早已落入百景图中。","侯级珍宝"
"镇河铁犀",NA,"文徵明初绘百景图时，河中缺少龙王镇守，河水泛滥。便画镇河铁犀镇之。","侯级珍宝"
"澄泥砚",NA,"文徵明在绘制百景图时，不慎将其砚台倾倒，落入图中，从此不知所踪。","侯级珍宝"
"條箒",NA,"一般用来清扫灰尘，但更广为人知的用途是教育孩子。","卿级珍宝"
"团扇",NA,"董夫人时常拿团扇在小花园里扑流萤，董其昌认为此景比画更美。","卿级珍宝"
"折扇",NA,"大家闺秀们有一套约定俗成的扇语，专在聚会时使用。","卿级珍宝"
"盘盏",NA,"用它饮酒可千杯不醉，李白和杜甫都喜欢。","卿级珍宝"
"纑刷",NA,"吴黎织布时沾浆糊用的什物，被文徵明拿去修补山河社稷图了。","卿级珍宝"
"剪刀",NA,"可以剪布料，可以辟邪，还可以找猫。","卿级珍宝"
"唢呐",NA,"一把从出生吹到头七的乐器。","卿级珍宝"
"天秤",NA,"李时珍使用过的天平，精确到厘。","卿级珍宝"
"苧刮刀",NA,"刮苧麻皮的专用刀具，轻巧又锋利。","卿级珍宝"
"笔筒",NA,"吴门画派素喜竹制笔筒，紫檀次之，乌木又次之。","卿级珍宝"
"笔架",NA,"文徵明根据灵隐山形状设计出来的笔架，在文人中很受欢迎。","卿级珍宝"
"绢伞",NA,"白素贞游西湖时向许仙借的便是这把伞。","卿级珍宝"
"竹耙",NA,"大人用来耙谷物，小孩用来扮八戒。","卿级珍宝"
"旗",NA,"最初用于军事指挥，现如今已深入市井生活。","卿级珍宝"
