"firstHeading","books","tianfu","tianfu_2star","tianfu_4star","description","user_desc","user_cat"
"乔沐","三国志  史记","木灵","在城市中负责需要消耗原木、木炭或竹子的建造工作时，立即完成20%的进度，并有15%的几率减免此消耗项。在城市中负责需要消耗原木、木炭或竹子的建造工作时，立即完成30%的进度，并有20%的几率减免此消耗项。","在城市中负责需要消耗原木、木炭或竹子的建造工作时，立即完成40%的进度，并有25%的几率减免此消耗项。","
介绍
外形特征


性格及经历


 逸事：

 逸事：

故事
乔沐心中仍存有曾经作为一株古树的模糊记忆。他记得自己在山海世界吐纳呼吸，记得路过的泉先为他带来了清冽的甘露，记得根须深深盘在古老的土地里，记得那古枫的树冠奋力举向苍穹，为九尾狐石雕挡风遮雨……乔沐记忆中最清晰的是那只叫涂南山的白狐。涂南山每日都会来树下休息，向自己倾吐心事。在漫长的时间里，他们几乎是彼此唯一的知己。做一株古树百无聊赖，所以当乔沐得知涂南山要去江南后，他也立即收拾好了包裹。乔沐在他那沾满树叶的布包里，放了乔沐向泉先讨来的许多书籍：《江南居住指南》、《关于江南不得不知的一百件事》、《江南气候与地理大全》……虽然不知此趟下山会发生什么，乔沐仍决定要飞速了解关于江南的一切。只有这样，他才能成为涂南山最称职的旅伴。
","乔作人 沐清风 与君同行结誓盟 述异梦中逢","天级角色"
"涂南山","天工开物  西游记","报恩","在城市中负责1小时以上的农牧或建造工作时，随机获得20份资源，并有12%的几率立即完成此工作。在城市中负责1小时以上的农牧或建造工作时，随机获得30份资源，并有16%的几率立即完成此工作。","在城市中负责1小时以上的农牧或建造工作时，随机获得40份资源，并有20%的几率立即完成此工作。","
介绍
外形特征

20岁左右的神秘女子，细眉凤眼，以白狐毛束发。
性格及经历

爱恨分明，对外界抱有戒心。经历居住在山海世界的涂南山曾不小心踩到猎人陷阱，因文俶救助才脱困。为了报恩，涂南山有生以来第一次走出山海世界，来到江南，不料误被张择端画入了《清明上河图》。涂南山决定要找到张择端，让他抹去自己在画中的痕迹。
 逸事：

 逸事：

故事
「南……南山，有人在……在江南见着你了。」「胡说，我都好多年没下山了。」涂南山抚着袖口蓬松的狐毛，在心中回想着上次去江南的场景：五年前，涂南山为了报答文俶曾经的救助之恩，费心织了一件软毛斗篷，趁夜悄悄放在了恩人家门口。「我就知道……你会不信。」乔沐展开一幅《清明上河图》的临摹品，指着画中一位神秘的女子说，「瞧……瞧瞧，这图上画的不是你吗？」涂南山定睛一看，那画上的女子凤眼上挑、以狐毛束发，在人群中显得与众不同。「的确是我。」涂南山叹了口气。曾祖母无数次告诫过她，涂山氏世代居住在山海世界，被世人所误解，千万不可轻易暴露行踪。「乔沐，我必须去江南找到张择端，让他将我从画中抹去。」「南山，你忘……忘了那些传说？你就不怕世人……」乔沐听了这话，倒吸了一口凉气。涂南山从山顶往下张望，那里炊烟袅袅，人们安居乐业。「我要去。」此刻，在她心中，好奇已战胜了恐惧，「或许，世人也不全是坏的？」
","涂氏灵瑞初显 南风古道绵绵 山中易过千年 丘下难为人间","天级角色"
"红鸾","诗经  道德经","姻缘","负责步天观星中任意工作时，所需工人-4，且有15%的几率减免菜肴需求。负责步天观星中任意工作时，所需工人-5，且有17%的几率减免菜肴需求。","负责步天观星中任意工作时，所需工人-6，且有20%的几率减免菜肴需求。","
介绍
外形特征

抱着一面红鸾纹样铜镜的红衣女子，有着可爱的圆圆脸大眼睛，笑容极具感染力。
性格及经历

古灵精怪，看着年纪小，却十分善解人意，仿佛能读懂人心。经历她是被红鸾祠的道长们抱回来抚养的孤女，从小在祠中长大，听惯了前来祈求姻缘的人们悲欢离合的故事，萌生了做红鸾星君的使者、撮合天下有情人的心愿。
 逸事：顽皮
年幼之时，顽皮的红鸾是所有人的开心果。她会趁师父打坐之时给他编小辫儿会在二师叔讲经之时躲在后面学舌，还会披上道袍模仿三师叔的样子，逗得大家哈哈大笑。长大之后，红弯变得乖巧起来，因为她找到了更能让大家快乐的办法。
 逸事：

故事
「红鸾祠里的那位小姑娘是红鸾星下凡，经她撮合的姻缘呀，没有不成的！」「我可不是什么红鸾星下凡，我只是道长捡回祠中的孤女。」每当听到这样的话，红鸾都会认真地纠正，然后补上一句，「但我想要做红鸾星君的使者，撮合天下的有情人！」红鸾祠的道长们发现红鸾的那一夜，祠后山中天降红光，他们循着光芒找去，在光芒消失的地方发现了一个啼哭的女婴，襁褓中有一面雕刻着红鸾纹样的铜镜。道长们认为这是个与红鸾星君有缘的孩子，将她抱回祠中悉心抚养，并取名「红鸾」。红鸾很快便长成了一个古灵精怪又善解人意的姑娘，她侍奉神前，听惯了前来祈求保佑的人们诉说心愿与苦恼。她发现，许多有情人不能在一起，根本不是因为没有神灵的保佑，而是他们缺乏最关键的诚心与勇气。如果我能帮助他们就好了！不知何时起，红鸾内心隐隐萌生了这样的心愿。在好友孟余的鼓励下，她终于站了出来，以手中红鸾镜为名，开解人们内心的迷惘，鼓励他们大胆地说出心中的爱意。渐渐地，红鸾祠的香火越来越鼎盛，每一个诚心前去祈求的人，都能看到一个抱着铜镜的姑娘笑吟吟地立在神像旁，仿佛真的是红鸾星君派下人间的使者，帮助人们成就良缘。
","红颜持宝镜 鸾鹤助姻缘 兰夜佳期会 鸳盟巧手牵","天级角色"
"冯令吉","水浒  全萍梅","凝聚","在生产或商业建筑中负责任意工作时，每有一个工人，额外获得15%资源或铜币，并立即完成2%的进度。在生产或商业建筑中负责任意工作时，每有一个工人，额外获得25%资源或铜币，并立即完成3%的进度。","在生产或商业建筑中负责任意工作时，每有一个工人，额外获得40%资源或铜币，并立即完成5%的进度。","
介绍
外形特征


性格及经历


 逸事：

 逸事：

故事
「想要诡辩翻案？不接。」「所述不实不尽，不接。」「过错本就在你，不接。」「嗯？问我到底接什么样的案子？」冯令吉一笑，「哗」地抖开手中纸扇，「不实不言」四个大字展开在身前——「案子不论大小，但论对错。区区不才，只为正义落笔。」做了讼师之后，冯令吉总是很忙。市井生活中有各种各样的事情，小到因为一头牛争执不下，大到人命关天的命案，只要是闹到要见官了，乡邻们总会敲响冯家的大门：「小吉啊，快来帮帮忙——」而不论事情大小，冯令吉总会耐心地接待他们，听清楚案情经过，再接下那些真正需要帮助的案子，一一写好诉状。他笔下的诉状案情详实、证据清晰，更兼文采飞扬入情入理，公堂之上总是能胜诉而归，久而久之，他便赢得了一个「不败讼师」的称号。可冯令吉却从来不肯领受乡邻们对他的赞誉，只是说：「不败的并非是我，而是正义。」从不顾家人阻挠，决定做一名讼师起，冯令吉便深知肩上负担的既是信任，也是责任。他知道家人师长对他寄予厚望，期望他能考个功名，可他也知道，帮助乡邻维护正义，才是他更想要做的事情。顶着或不解或失望的目光，冯令吉接下一个个委托，打赢了一场又一场官司。终于，在他的一纸诉状令鱼肉百姓的富豪得到惩治之后，所有人都对他露出了笑容，求学时的夫子更是登门送给了他一柄纸扇。迎着夫子的目光，冯令吉打开纸扇，扇面上「不实不言」四个大字映入眼帘。他抬起头，对着夫子会心一笑：「放心，我只为正义落笔！」
","冯陵壮志出少年 令名机变智计全 吉士有心护贫弱 纸笔如刀为民言","天级角色"
"令风来","论语  黄帝内经","风雷","建造或升级生产建筑时，立即完成40%的进度。且需工人-1。建造或升级生产建筑时，立即完成45%的进度。且需工人-2。","建造或升级生产建筑时，立即完成50%的进度。且无所需额外工人。","
介绍
外形特征


性格及经历


 逸事：

 逸事：

故事
羯鼓一声，八音听令。羯鼓二声，风随鼓来。羯鼓三声，群仙归唐。令风来羯鼓定音，温庭筠、卢璀、杜秋娘等人方敢奏响手中乐器，魏徵、白居易依韵高吟歌辞，小蛮、武鸣月被甲执戟，再舞将士神勇。这是江南浴火重生的第三个年头，《秦王破阵乐》终在应天府上空回响。盛唐篇章引出大明风华。宫商羽箜篌清音，李旋箫洞箫悠扬，曹亦玉笛横吹，凤扬歌声飘荡。飞花撒下花瓣，泉先捧上鲛珠。列席宾客按捺不住了，以渴求的眼神看向知府。知府大人颔首微笑，做了个请的手势。于是，公子礼编钟缀乐，阮籍引吭长啸，嵇康抚琴和韵……百鸟齐飞，百兽齐啸，百花齐开，江南生灵以自己的方式表达着心中喜悦。后来史官评价这场盛会，对令风来的鼓声这样写道：「令风来击鼓，鸣兮河清海晏，响兮太平盛世。」
","令乐响江南 风携群仙归 来时祥瑞至 鼓贺太平岁","天级角色"
"万千山","论语  黄帝内经","狂歌","负责建造工作时，每有一个男性工人，立即完成2%的进度。","负责建造工作时，每有一个男性工人，立即完成4%的进度。","
介绍
外形特征


性格及经历


 逸事：

 逸事：

故事
万千山随秦良玉到边关驻守时，遇到了老朋友们。万千山朗声大笑：「哈哈哈哈，王氏镖局！」镖师们开开心心地同他打招呼：「哟，这不是老万吗？」「你多久没回来了？现在当家的是老王头的女儿，镖局都改名叫扶危镖局了！」「是啊，很久了……」万千山喃喃自语，眼神染上一层惆怅。二十年前，他还是个镖师，与同镖局的千暮雪相知相恋。然而这桩婚事却遭到了双方父母的反对，一对有情人被迫分开。他拒绝了父母的安排，远走异乡，加入了白杆兵，成为秦良玉的得力大将。家，便再也没回去过了。朋友们知道他想起了往事，指了指远处那策马而来的身影：「她也来了。」万千山顿时心绪激动，跃马迎去。两匹马越靠越近，两道身影渐渐交错，而后并肩，一起在沙场纵横。他们谁也没有说话，却从彼此的眼睛里读懂了一切：他们一刻也不曾停下相思。后来，镖师们离开，千暮雪留了下来。她加入秦良玉麾下，与万千山共护家国。「岂曰无衣？与子同袍。」
","万里黄沙孤云游 千灯独为一人放 山斜水险皆无惧 唯有相思不敢忘","天级角色"
"杨婳","论语  全萍梅","诗会","负责2小时以上的农牧工作时，立即完成10%的进度，并额外获得100%的产品。负责2小时以上的农牧工作时，立即完成15%的进度，并额外获得200%的产品。","负责2小时以上的农牧工作时，立即完成20%的进度，并额外获得300%的产品。","
介绍
外形特征


性格及经历


 逸事：

 逸事：

故事
今年春天，纸鸢诗会头一次停办。黄昏时分，诗会主人「纸鸢君子」杨婳在满城文士放起的纸鸢中出嫁了。她与夫君陈随自幼相识，两家比邻而居。幼时，她觉得隔壁围墙高耸，好似峭壁，纸鸢落进去后迟迟不敢过去讨要。正在墙脚徘徊时，父亲领着一个与她年龄相仿的孩子进入院中。孩子手上拿着的，正是她的纸鸢。杨婳谢过陈随，他却撇撇嘴：「可惜摔进我家的时候，竹篾断了几根。」杨婳摇摇头，纸鸢失而复得足矣。她又听见陈随说：「不过，我可以帮你做一个新的。」杨婳眉眼含笑，问：「你能帮我做个大雁的么？」雁鸢做好，杨婳的《纸鸢赋》也落下最后一笔。从此纸鸢君子的名号响彻江南。士大夫们纷纷邀请这位年仅九岁的文人参加诗会。杨婳却把头发一甩：「我要自己办诗会，邀请大家放纸鸢。」后来每年春天，士大夫们都会带着各式纸鸢到江边参加诗会。杨婳那只，总由陈随亲手扎制。今日吉时，亲迎的陈随翘首以盼。两人目光一对上，便开怀大笑。杨婳的嫁妆里，放着九岁那年的雁鸢。陈随的手里，捧着昨日刚扎的雁鸢，跟九岁那只一模一样。
","杨花轻扑游人衣 婳姽粉靥映江面 放线乐春吟词赋 鸢鸟凭风自在天","天级角色"
"李星罗","诗经  全萍梅","妙手","在桃花村采集所有物体，有10%的概率只消耗1点体力。在桃花村采集所有物体，有15%的概率只消耗1点体力。","在桃花村采集所有物体，有20%的概率只消耗1点体力。","
介绍
外形特征


性格及经历


 逸事：

 逸事：

故事
又到望月李星罗早早地遣学生们回家，一边与小妍，林鹿等朋友闲聊，一边等待卫弈。圆月刚在天边冒了个头，卫弈就来了。他满脸兴奋，顾不得吃饭，径自坐在了棋桌旁：「快来，我刚得了个新棋谱！」李星罗赶紧放下茶杯，坐在了卫弈对面。两人全身贯注，连朋友们离去都没发现。一局终了，李星罗意犹未尽，她收拢棋子，还欲再来，却想起卫弈远道而来，于情于礼都应当先与他吃饭叙旧。她抬头看向卫弈，恰好卫弈也在看她，两人的神情，动作如出一辙。李星罗了然，起身拿来两个馒头：「一年不见，你有什么趣事要说吗？」卫弈接过来啃了一大口：「我要说的都在棋局里。」李星罗囫囵吃完馒头：「落子吧。」卫弈洗净手，拾起一枚棋子，他望了眼天边满月：「两位老爷子此刻也一定在对弈吧。」「就像你我的望月之约一样。」
","星子似棋子 罗布夜空中 守护望月约 诺言千金重","天级角色"
"顾小九","水浒  黄帝内经","余料","负责2小时以上的制作工作时，额外获得2个随机宅邸家具材料，且所需工人-2。","负责2小时以上的制作工作时，额外获得6个随机宅邸家具材料，且所需工人-5。","
介绍
外形特征


性格及经历


 逸事：机巧
从小九用一炷香时间解开人生第一个九连环那刻起，这个女孩就走上了玩具设计匠之路。天才难弃，机巧天然，对小九而言，不断挑战自己的智力才是真正的乐趣所在。
 逸事：

故事
「完全！没有！挑战！」幼年顾小九看着满屋子的木制机巧玩具，觉得每一件都太简单了。于是，小九开始自己制作玩具。她设计的机关越来越精巧，也越来越难，直到无人能解。「好奇怪，明明很简单嘛。」小九一边解开九连环又重新把它串上，一边自言自语。她还太小，无法准确描述自己此刻的感受——没有同类的孤独。「很不错的设计。不过，它还有更快的解法。」小男孩的话从身后传来。顾小九回头看，那男孩腰间挂着鲁班尺和墨斗，看上去正在学习营造，大概是小九爹请来建新宅的匠人之徒。小九不服气地递去自己做的九连环，然后目瞪口呆地看着男孩飞速解开机关。这个场景一直留在小九心中，直到她跟随父亲顾半城离开江南。许多年过去，长大后的顾小九再回故乡。她在城中最繁华的地方开了一家玩具铺，仍旧天天设计新玩法。小九相信，不管她设计的机关有多难，总有一日，童年时遇到的那个天才男孩会来解开。
","顾念竹马意 小女制新锁 九连环中绕 七巧待斗墨","天级角色"
"王扶危","诗经  黄帝内经","义镖","负责徽商经营或漕运交付资源工作时，铜钱收入增加40%，且徽商不会死亡。负责徽商经营或漕运交付资源工作时，铜钱收入增加80%，且徽商不会死亡。","负责徽商经营或漕运交付资源工作时，铜钱收入增加100%，且徽商不会死亡。","
介绍
外形特征


性格及经历


 逸事：

 逸事：

故事
达摩剑在手里挽出个漂亮的剑花，木制招牌便断成了两截。刻着「比武」那截的，靠着石头勉强立着，而「招亲」那截则被挑在了半空。王扶危冷哼一声，手顺势一劈，招亲残牌再次裂成两半，狠狠砸在地上，溅起泥土与尘埃。「比武招亲？陪我切磋还差不多。」她语气平和，却充满威严。擂台下蠢蠢欲动的人群一下子安静下来，纷纷收起那攀附镖局的心思，再也不敢登台。王扶危朝饮茶的王老爹摊摊手，好像在说，无人挑战，她也没办法。王老爹耷拉着脸，怪不得一直抗拒婚事的女儿会同意搞什么比武招亲，原来在这等着他，早知道就不操这闲心了。身手不凡的镖局老板王扶危站在擂台正中央，铿锵有力道：「要切磋的，我随时奉陪！」一个手持少林棍的青年翻身上台，王扶危连眼睛都懒得抬，她捏出剑诀，等待又一个手下败将的靠近。
","王者承重任 扶弱济苍生 危难一马先 盛名不相争","天级角色"
"柳笑翁","三国志  史记","赤忱","在商业建筑中工作时，有5%的几率立即完成本次工作，且所需本金减少30%。在商业建筑中工作时，有8%的几率立即完成本次工作，且所需本金减少40%。","在商业建筑中工作时，有12%的几率立即完成本次工作，且所需本金减少50%。","
介绍
外形特征

一位老生打扮的戏班班主，他正轻拂胡须引吭高歌。
性格及经历

赤诚、热爱昆曲，坚持传统。他年少时为了糊口入戏班学艺，因嗓音优越得老班主重视，在师父病故之后接手戏班。如今他已带出不少徒弟，柳家戏班也已在江南打响名号。在江南的昆曲传承上，他是十分重要的领路人。
 逸事：戏外
柳笑翁有时会觉得恍惚，他无法判断戏外的自己在别人眼中是什么样子。这一生他演过许多角色，忠臣奸佞、将军庶民……每一个他都用心去诠释。以至于时常有观众将角色的性格转移到他身上，时间久了，他似乎也有些看不清自己。不过这并不能动摇他的决心，此生能和戏融合至此，也算是一种成就。
 逸事：

故事
柳笑翁当上戏班班主之后，一直以严厉的形象示人。但凡徒弟们姿势不对，音唱得不准，他总要唉声叹气地数落上几句。连一手养大的春莺，他也没有半分宽待。时间久了，人们都说他是个固执的、脾气古怪的老头。但只有徒弟们知道，这位师父虽然严厉，却也会毫无保留地授业解惑，妥帖细心地照顾好大家的衣食起居，甚至连徒弟们的家里人，他也会在得空时上门慰问。他还烧得一手好菜，记得每一个徒弟的喜好。他像个真正的父亲一样爱着大家，爱着他们共同生活的戏班。只是在这些之外，他最爱的还是昆曲。自从年幼时为求生而进了戏班，他的人生便再也无法同昆曲分割。几十载匆匆而过，台上的少年青丝唱成了雪，却没有一天停下来。无论世事如何变迁，哪怕昆曲本身都在这数十载光阴中变了些模样，他也依旧挺直了背脊，哼唱着最缱绻婉转的曲调，在千万年岁月长河中娓娓诉说……
","柳暗灯明戏一声 笑老台前少年人 翁去梨园春常在 座下衣冠今何剩","天级角色"
"叶闻灯","论语  黄帝内经","花灯","负责2小时以上的制作工作时，额外获得3份颜料，且所需工人-2。负责2小时以上的制作工作时，额外获得5份颜料，且所需工人-3。","负责2小时以上的制作工作时，额外获得8份颜料，且无需额外工人。","
介绍
外形特征


性格及经历


 逸事：

 逸事：

故事
叶闻灯孤身来江南找工作，可直到他花光积蓄，也没能找到个稳定的活计。在下一次交租的日子到来之前，他背着行囊去向秦子棠辞行，后者听闻他的遭遇十分不解：「江南如此繁华，你年轻又肯吃苦，怎会寻不到谋生的活计呢？」叶闻灯自己也不知道答案，不过他并非找不着，而是每次都做不长。初来时他在餐馆帮忙结账，因觉得菜价不合理，每次都少收顾客一些钱，没几天就被老板赶出了门。后来他去了成衣店，顾客们试完衣裳询问他意见时，他总会真诚地给出最中肯的评价，结果半月过去一件衣裳也没卖出去。再后来他又去过茶馆、玉器店、胭脂铺子……无一例外，全都做不长。秦子棠陷入沉思，半晌后才重新笑起来：「我还缺个帮手，要不你跟着我一起收租吧！」「已经麻烦你许多了，我好手好脚，岂能一直靠着你的帮助过活。」「可你离开这里又能去哪里呢？」「继续找点活儿干吧，等攒够了钱我就回乡开间花灯铺子。」「你会做花灯？」秦子棠激动地拉住叶闻灯的手，一个主意浮现心头。……一段时日后，城中不起眼的角落多了间小小的花灯铺子，所卖花灯或精巧或大气，样式新奇、物美价廉。老板是个不苟言笑的年轻小伙子，整日坐在店里扎着花灯。那年元宵灯节突逢大雨，满城花灯大多被浇坏，唯有这间铺子卖出的花灯保存完好。如今，这间小铺不光常有花灯手艺人拜访，还得了知府青睐，成为年年佳节最大的花灯供应商。
","叶落秋尽天又雪 闻人携月扣门扉 灯火满城佳期至 又见枝头腊梅肥","天级角色"
"凤扬","天工开物  西游记","高歌","负责1小时以上的农牧工作时，额外获得150%的资源，且所需工人-2。负责1小时以上的农牧工作时，额外获得250%的资源，且所需工人-3。","负责1小时以上的农牧工作时，额外获得400%的资源，且无需额外工人。","
介绍
外形特征

一个正在边打花鼓边唱的流浪艺人。她的脚边跟着一只鸭子，也戴着和她一样的花巾。
性格及经历

乐观，伶牙俐齿。凤扬从戏班出走后，带着鸭子和花鼓，走街串巷地卖艺。后来，她遇到了自己的搭档罗一响，从此二人相伴上路。
 逸事：

 逸事：

故事
「等到了下个集市，咱就换一只最好的花鼓，羊皮做的！」凤扬听了罗一响的话，低头瞧了瞧腰间的鼓：它已经被罗一响补得花色斑斓，成了一只百纳鼓。「成！明天咱好好唱一场，多得些赏！」两人相互安慰，但心中却清楚谁也舍不得换鼓。凤扬从戏班出走时，只带走了从小养大的鸭子和腰间这只破花鼓。她伶牙俐齿，花鼓一响，词儿就一串串从嘴里蹦出来，没有人能接得上，除了罗一响。于是，花鼓找到了锣儿，一人一鸭成了两人一鸭。从那时起，凤扬觉得自己不再流浪，而是与罗一响走一路唱一路，自在又逍遥！「凤扬，咱在哪儿安个家？」「走到哪儿就在哪儿安家！」「那咱要走到哪儿去？」「花鼓敲到哪儿，我们就走到哪儿！」
","凤歌穿云来 扬尘走四方 花布纳旧衣 鼓声庆新象","天级角色"
"秦挽铮","三国志  史记","弹词","在宅邸中负责打造新的装饰家具时，所需的宅邸材料随机减少2~6。在宅邸中负责打造新的装饰家具时，所需的宅邸材料随机减少3~7。","在宅邸中负责打造新的装饰家具时，所需的宅邸材料随机减少4~8。","
介绍
外形特征

手持惊涛铜琶、英姿飒爽的红衣姑娘，神采飞扬，正在唱自己最喜欢的侠女弹词故事。
性格及经历

侠义豪爽，有些好胜，但内心却十分善良。她出身苏州弹词世家，在弹词方面极有天分，一手琵琶出神入化，在小时候遇到了聂隐娘，被她侠女的风范所倾倒，从此梦想着做一个行侠仗义走天下的弹词圣手，写出一个侠女闯天下的故事。
 逸事：

 逸事：

故事
惊涛铜琶铮然划出最后一声弦音，满堂喝彩声中，秦挽铮盈盈站起，对着观众们行了一礼。堂下人们兴奋地议论着今日的弹词故事，秦挽铮却已抱着琵琶，径自去了。苏州无人不晓，弹词世家秦氏出了个有点怪的秦挽铮姑娘，不唱才子佳人，不唱帝王将相，只爱唱英雄侠女，剑胆琴心。她手中一柄不同于常人的铜琵琶铮然如千军万马，有穿云裂石之音，找遍全苏州，也没有能与她相配的弹词搭档。人人都道：「秦姑娘早晚会成为声名响彻整个江南的弹词圣手！」但秦挽铮听到了，只是微微一笑。她的志向，可不仅限于此，她想要做一名行侠仗义走天下的弹词圣手，亲自写出一部侠女闯天下的词本，再唱给全江南的百姓们听。一念及此，秦挽铮忍不住露出一个笑容，她想起当年那个英姿飒爽的侠女姐姐，像是一阵风一样，轻盈地从树上落下来，对幼小的抱着琵琶的她说：「你唱的是我姐姐的故事！」那个夏天，侠女姐姐给她讲了无数的侠客传奇，也在她小小的心里种下了行侠仗义的种子。侠女姐姐离开后的第二年，秦挽铮将手中的紫檀琵琶换成了如今的惊涛铜琶，她梦想着一人一琵琶游历天下，当再遇到她时，对她说一句：「聂姐姐，我唱的是你的故事。」
","秦云万里彻长风 挽得惊涛第一声 铮然琵琶无尽意 侠骨柔情指尖生","天级角色"
"秦奚","诗经  道德经","弦乐","负责1小时以上的制作工作时，立即完成10%的进度，且所需原材料减少15%。负责1小时以上的制作工作时，立即完成20%的进度，且所需原材料减少20%。","负责1小时以上的制作工作时，立即完成30%的进度，且所需原材料减少25%。","
介绍
外形特征


性格及经历


 逸事：

 逸事：

故事
不知从什么时候起，鉴湖边总是箫声阵阵，这来自异乡的曲调秦奚从未听过。她是如此陶醉。那曲调里有风雨，有江湖，有爱恨，有责任。乐声入耳，在脑中浮现成画，她甚至不需要思考，歌词便脱口而出。这天，秦奚照例站在李旋箫身后玲听他的演奏。一阵风吹来，紫叶李鸣咽，箫声愈发苍凉。她忍不住想安慰，便架起了胡琴。琴声悠扬，李旋箫先是一愣，随后了然。他知道有人听出了他的离愁，正和韵劝慰。如果说他的箫声是入秋的北风，那这琴声便是从紫叶李枝头跃起的鸿雁，乘风而行。一曲终了。秦奚走上前，这才发现李旋箫双眼有疾，她依然拱手行了一礼：「敢问先生此调名何？」李旋箫摇头：「此乃家母洗衣时随口所哼，我将其略加改编，并无定名。」「若我想以此调为底创作更多曲子，不知先生是否愿意助我？」「就像汤显祖和丽娘发扬昆曲一样？」「就像他们一样。」「那，我们演奏的这曲调应该叫做什么呢？」秦奚望着鉴湖碧波，想起方才琴声与箫声化作涟漪，在湖面层层荡漾、慢慢泛开的画面，微微一笑：「那就叫做平湖调吧。
","秦士临鉴湖 奚若弦上音 奏演平湖调 曲唱相思引","天级角色"
"公子礼","诗经  史记","礼乐","建造或升级生产建筑时，所需原材料减少20%，且所需工人-2。建造或升级生产建筑时，所需原材料减少25%，且所需工人-3。","建造或升级生产建筑时，所需原材料减少30%，且无需额外工人。","
介绍
外形特征


性格及经历


 逸事：

 逸事：

故事
手足们为权利面红耳赤之时，公子礼悄悄离开封地，驾着马车四处寻访飞星编钟。传说飞星编钟由女娲亲制，只在重大祭祀时使用。演奏时大小铜钟轻巧晃动，好似闪烁的繁星，因此得名。然而它却在江南的那场大火中不知所踪……公子礼屡次寻找均无功而返。正郁郁寡欢时，却看见告示栏张榜，为祭祀广征礼乐之士。他又听得大司乐同乐正闲聊：「可算找到那套编钟了。」「这回祭祀隆重了！本以为天机子这样的隐士看不惯我等红尘之人，谁知他说祭祀之乐是献给山川万物的，便把编钟送给我们了。公子礼按捺不住：「可是那套飞星编钟？」大司乐看了眼公子礼，见他举手投足间自带贵气，加之知道飞星编钟的人寥寥，心下有了定夺，朝他拱手行礼：「敢问大人可是……」公子礼抬手将他扶住：「山间野人想斗胆演奏编钟。」终于到了祭祀这天，公子礼神采奕奕地站在了编钟前。他微微一笑，敲响编钟。诸侯们从他的演奏中听到了礼乐的虔诚，而他的手足们听到的却是一支渴望兄友弟恭、放下恩怨的归隐之歌……
","公爵离封地 子方知鱼乐 礼祭酬天地 乐钟慰日月","天级角色"
"兰心娴","天工开物  道德经","酒香","在琥珀酒坊工作时，酒类货物产量增加40%，且所需工人-1。","在琥珀酒坊工作时，酒类货物产量增加100%，且所需工人-3。","
介绍
外形特征


性格及经历


 逸事：花雕
兰心娴喝过的酒越多，见过的酒坊越多，听过的酒事越多，就越喜欢花雕。花雕不仅是她家的拿手绝活，也承载着她的回忆。她只要轻轻一抿，便能看到幼时祖父在酒坛前忙碌的身影、父亲乐呵呵地说兰酒酒行绍兴一绝的模样。如今已是兰酒酒行第三代当家的她，决心让更多人爱上花雕。
 逸事：

故事
「阿兰，三坛竹雕！」「好嘞！」兰心娴应了一声，收下嵇康的银钱，给了他张连票，「老样子，后天给你送去！」嵇康站在兰酒酒行，闭上眼睛深深闻了一阵酒香，蓦地他睁大了眼：「酿新酒了？」兰心娴笑盈盈地点了点头：「李白说想在酒中品出孤云独去闲的滋味，我便试了试。」嵇康感慨道：「论酒中意境，我还是略逊他一筹。」「若不是看见你竹叶沾衣，我也做不出这坛酒。」兰心娴摩挲着酒坛，酒坛外侧雕刻着清雅的竹林。这款竹雕酒一推出，就受到了文人们的推崇，他们连声称赞兰酒酒行终于让花雕酒摆脱了松鹤连年等传统图样的拘泥。李清照也来了：「心娴，青梅黄酒不错，每月往我家送两坛吧。」兰心娴让荣嘉往账本上记了，又递给李清照一小坛酒：「喏，刚启封的陈年酒，也是青梅酿的，尝尝风味与你上次吃的有何不同~」李清照顿时来了兴趣，她看着酒坛上雕着的青梅：「幸好你接过了酒行，不然我们就痛失瑰宝了！」兰心娴有些羞涩，想起了开店渊源。兰酒酒行原是她爷爷所开，盛极一时，可惜父亲守旧不愿出新，生意每况愈下，她不忍家业式微，便在二十岁这年，接过了酒行。她将传统的酒坛样式和店铺装饰改得清雅闲适，以家传酒方酿文人之酒。无数人等着看她笑话，幸得李清照、荣嘉等一帮朋友支持和信任，辛勤耕耘七年后，她终于在酿酒高手如云的绍兴府闯出了一片天。兰心娴望着不断来买酒的熟客们，心想：「人是故交好，酒是陈年香。」
","兰花入酒曲 心境作陈酿 娴雅好花雕 酒光琥珀香","天级角色"
